;sexe;prenom;dpt;AP;XL
0;1;AARON;HE;1;0
1;1;ADRIAN;64;0;1
2;1;ADRIAN;HE;1;0
3;1;AIMAR;HE;0;1
4;1;ALESSANDRO;64;0;1
5;1;ALLANDE;64;0;1
6;1;ANDDE;64;0;1
7;1;ANDDE;HE;0;1
8;1;ANDER;64;0;1
9;1;ANDONI;64;0;1
10;1;ANDONI;HE;0;1
11;1;ANDREA;64;1;1
12;1;ANDREI;HE;1;0
13;1;ANDRES;HE;1;0
14;1;ANTONIO;HE;0;1
15;1;ANTTON;64;0;1
16;1;ARITZ;64;0;1
17;1;BENAT;HE;0;1
18;1;BETTI;64;0;1
19;1;EKHI;64;0;1
20;1;EKHI;HE;0;1
21;1;EKI;HE;0;1
22;1;ELIE;64;0;1
23;1;ELIO;64;0;1
24;1;ELLANDE;64;0;1
25;1;ELLANDE;HE;0;1
26;1;EMILIO;64;0;1
27;1;ENAEL;64;0;1
28;1;ENEKO;64;0;1
29;1;ENZO;64;0;1
30;1;ENZO;HE;0;1
31;1;ESTEBAN;64;1;0
32;1;ESTEBAN;HE;2;0
33;1;FABIO;64;0;1
34;1;FABIO;HE;0;1
35;1;FLAVIO;64;0;1
36;1;GABIN;64;1;0
37;1;GAEL;HE;0;1
38;1;GIOVANNI;HE;1;0
39;1;GIULIAN;64;1;0
40;1;HAIMAR;HE;0;1
41;1;HODEI;64;1;2
42;1;HODEI;HE;0;2
43;1;IKER;64;0;1
44;1;IKER;HE;0;1
45;1;IMANOL;64;0;1
46;1;IMANOL;HE;0;1
47;1;JOAN;64;0;1
48;1;JOAN;HE;0;1
49;1;JOHAN;64;0;1
50;1;JOKIN;64;0;1
51;1;JOKIN;HE;0;1
52;1;JORITZ;HE;0;1
53;1;JULEN;64;0;1
54;1;JULEN;HE;0;1
55;1;JULIAN;64;0;1
56;1;JULIAN;HE;0;1
57;1;LEANDRO;64;2;1
58;1;LEANDRO;HE;1;2
59;1;LENI;64;1;0
60;1;LENNY;64;1;0
61;1;LENY;64;1;0
62;1;LEVI;HE;1;0
63;1;LISANDRO;64;2;2
64;1;LIVIO;64;2;1
65;1;LORENZO;64;0;1
66;1;LORENZO;HE;0;1
67;1;LUIS;HE;1;1
68;1;LUTXO;64;0;1
69;1;MAE;64;1;0
70;1;MAEL;64;0;1
71;1;MALO;64;1;0
72;1;MANEX;HE;0;1
73;1;MARCEAU;64;0;1
74;1;MARIN;64;1;0
75;1;MATEO;64;0;1
76;1;MATEO;HE;0;1
77;1;MATHEO;64;0;1
78;1;MATHIAS;HE;0;1
79;1;MATHIS;64;0;1
80;1;MATIAS;64;0;1
81;1;MATIAS;HE;0;1
82;1;MATIS;64;0;1
83;1;MATTEO;64;0;1
84;1;MATTEO;HE;0;1
85;1;MATTIN;64;0;1
86;1;MATTIN;HE;0;1
87;1;MILAN;HE;1;0
88;1;NAHEL;64;0;1
89;1;NOHA;64;0;1
90;1;ODEI;64;2;1
91;1;ODEI;HE;2;1
92;1;PABLO;64;2;2
93;1;PABLO;HE;2;2
94;1;PAOLO;64;1;1
95;1;PAULO;HE;1;0
96;1;ROMEO;HE;1;0
97;1;SANDRO;64;1;0
98;1;THIAGO;HE;0;1
99;1;THIMEO;64;0;1
100;1;TIAGO;HE;0;1
101;1;TOMAS;64;0;1
102;1;XIMUN;HE;1;0
103;2;AINARA;64;0;1
104;2;AINARA;HE;0;1
105;2;AINES;HE;0;1
106;2;AINHOA;64;0;1
107;2;AINHOA;HE;0;1
108;2;AINOA;64;0;1
109;2;AITANA;HE;1;0
110;2;ALAIA;64;0;1
111;2;ALAIA;HE;0;1
112;2;ALEXANDRA;64;2;0
113;2;AMAIA;64;0;1
114;2;AMELIA;HE;0;1
115;2;ANAE;64;1;0
116;2;ANDREA;64;0;1
117;2;ANDREA;HE;0;1
118;2;ARGIA;HE;0;1
119;2;ATHENEA;HE;2;0
120;2;CHARLIZE;64;1;0
121;2;ELAURA;64;0;1
122;2;ELIA;64;0;1
123;2;ELORA;HE;0;1
124;2;ELORRI;64;0;1
125;2;ELORRI;HE;0;1
126;2;EMMA;64;1;1
127;2;EMY;64;0;1
128;2;ENEA;64;0;1
129;2;ENOLA;64;0;1
130;2;ENORA;64;0;1
131;2;ESTITXU;64;1;1
132;2;ESTITXU;HE;0;1
133;2;EZTITXU;64;0;1
134;2;GIULIA;64;1;0
135;2;GIULIA;HE;1;0
136;2;HAIZE;64;0;1
137;2;HAIZE;HE;0;1
138;2;HAIZEA;64;1;2
139;2;HAIZEA;HE;2;2
140;2;HEGOA;64;0;1
141;2;HEGOA;HE;0;1
142;2;IDOIA;64;0;1
143;2;IDOIA;HE;0;1
144;2;ILONA;64;0;1
145;2;INES;64;0;1
146;2;IRUNE;HE;0;1
147;2;ISABELA;HE;0;1
148;2;IZARGI;HE;0;1
149;2;IZARO;HE;0;2
150;2;JUNE;HE;1;0
151;2;KATIXA;64;0;1
152;2;KATIXA;HE;0;1
153;2;LAIDA;HE;1;0
154;2;LAILA;HE;1;0
155;2;LAYLA;HE;1;0
156;2;LEA;64;0;1
157;2;LEANA;64;0;1
158;2;LEIA;64;0;1
159;2;LEIA;HE;0;1
160;2;LEINA;64;0;1
161;2;LEIRE;64;0;1
162;2;LEIRE;HE;0;1
163;2;LENA;64;1;0
164;2;LENA;HE;1;0
165;2;LEONIE;64;1;0
166;2;LEXIE;64;1;0
167;2;LEYNA;64;1;0
168;2;LOANE;64;0;1
169;2;LORE;64;0;1
170;2;LORE;HE;0;1
171;2;LOREA;64;1;1
172;2;LOREA;HE;0;1
173;2;LORENA;64;0;1
174;2;LORENA;HE;0;1
175;2;LOUISA;64;0;1
176;2;LUISA;64;0;1
177;2;LUISA;HE;0;1
178;2;LUZIA;HE;0;1
179;2;LYANA;64;1;0
180;2;MAIKA;64;0;1
181;2;MAIKA;HE;0;1
182;2;MAILEN;64;0;1
183;2;MIA;64;1;0
184;2;MIKELA;64;0;1
185;2;MIKELE;HE;0;1
186;2;MIREN;HE;0;1
187;2;NAHIA;64;0;1
188;2;NAIARA;HE;0;1
189;2;NELLY;64;0;1
190;2;NEREA;64;0;1
191;2;NEREA;HE;0;1
192;2;NOA;HE;0;1
193;2;NORA;64;0;1
194;2;NORA;HE;0;1
195;2;NORAH;64;0;1
196;2;OIHANE;64;0;1
197;2;OLAIA;HE;0;1
198;2;PALOMA;HE;1;0
199;2;PAOLA;64;1;1
200;2;PAOLA;HE;1;1
201;2;PAULA;HE;1;1
202;2;ROMIE;64;1;1
203;2;ROMY;64;0;1
204;2;TERESA;HE;0;1
205;2;UHAINA;64;2;2
206;2;VALENTINA;HE;1;0
207;2;XANA;64;0;1
